P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
219,0.09743159678054733,8.271942107791345,7.5181873926702725,0.142706662462027,5.0,-3.68,2.4000000000000004,0.0,306.013521194458
320,0.097221078593163,8.14543031798296,7.501029951455504,0.1411130345978185,5.0,-3.68,2.5600000000000005,0.0,375.7845995426178
417,0.09694103999025636,8.044010922255353,7.494856695057265,0.13967109458796323,5.0,-3.68,2.7199999999999998,0.0,337.8545939922333
509,0.09659191018704744,7.952316322055541,7.504190274583985,0.13808774571328397,5.0,-3.68,2.88,0.0,349.0273971557617
600,0.09617338048184394,7.87510098878272,7.530699896356921,0.13640620830699685,5.0,-3.68,3.04,0.0,327.85652017593384
4,0.09568693500676523,7.7865092337875135,7.5478699887294916,0.13490761012451535,5.0,-3.68,3.2,0.0,291.25709676742554
111,0.09513376625840295,7.725435855242111,7.5881182099046,0.13340697122373196,5.0,-3.68,3.3600000000000003,0.0,363.46636056900024
222,0.09451581929457945,7.660987408851977,7.640504123118609,0.13170353933331747,5.0,-3.68,3.5200000000000005,0.0,361.6409854888916
309,0.09383617137650153,7.649078899724623,7.719687936439566,0.13042167170248833,5.0,-3.68,3.6799999999999997,0.0,346.27059412002563
405,0.09309781459543996,7.628899029592504,7.800978957210651,0.12913500630186733,5.0,-3.68,3.84,0.0,334.2257294654846
493,0.09230485897171009,7.62023495979982,7.893091548132876,0.12798545244738524,5.0,-3.68,4.0,0.0,308.45648670196533
621,0.07143983785892645,12.880662211712252,13.006641999984396,0.14367330922620136,5.0,-3.52,-4.0,0.0,514.0044593811035
90,0.0723692411042135,12.880662204847361,12.758569817734028,0.14450202765088446,5.0,-3.52,-3.84,0.0,482.0001149177551
230,0.07330806649943224,12.88066221385293,12.516378661309217,0.14531963264983522,5.0,-3.52,-3.68,0.0,548.175276517868
355,0.07425494387673608,12.880662179482034,12.280000456562941,0.1461248322856737,5.0,-3.52,-3.52,0.0,520.3267755508423
527,0.07520865819000906,12.880662178068302,12.049682083596874,0.14692239097019455,5.0,-3.52,-3.36,0.0,599.963493347168
625,0.07616787306664924,12.857292621168583,11.82527658193672,0.14772174020175727,5.0,-3.52,-3.2,0.0,381.0184283256531
753,0.07713379931621253,12.751261043357301,11.604955473554485,0.1485401682042612,5.0,-3.52,-3.04,0.0,434.44456243515015
855,0.07810688314153033,12.640544645692287,11.37339786199681,0.14960061994189938,5.0,-3.52,-2.88,0.0,365.31238079071045
81,0.07908570560971874,12.521697319667703,11.162907938656318,0.15038021836649518,5.0,-3.52,-2.7199999999999998,0.0,430.70972180366516
186,0.08006866869417378,12.42057488981462,10.958020543918632,0.15113415065985236,5.0,-3.52,-2.56,0.0,471.7317864894867
289,0.08105437160444255,12.29195769579728,10.741902685188169,0.1521277696329606,5.0,-3.52,-2.4,0.0,388.1821916103363
421,0.08204096229190316,12.169491203548962,10.546426830985773,0.15283993403564722,5.0,-3.52,-2.24,0.0,447.51664447784424
528,0.08302663888168026,12.0496838981989,10.355966106883525,0.15352924745746832,5.0,-3.52,-2.08,0.0,417.81525206565857
635,0.08400940599560924,11.895259647965963,10.154852707375184,0.15449111559954384,5.0,-3.52,-1.92,0.0,399.0994780063629
748,0.08498701923278587,11.783889397581174,9.974089861680717,0.1550778335068539,5.0,-3.52,-1.7599999999999998,0.0,399.6220600605011
71,0.08595676965608856,11.648017505281096,9.79749149608985,0.1556855063569213,5.0,-3.52,-1.6,0.0,391.73621582984924
163,0.08691644601451322,11.50993751452022,9.612077203924372,0.1565066558542047,5.0,-3.52,-1.44,0.0,370.53362584114075
260,0.08786319095937602,11.368783198584175,9.44478423792362,0.15705088992986654,5.0,-3.52,-1.2799999999999998,0.0,362.51781272888184
353,0.08879415167475568,11.225765909612154,9.282022172808592,0.15756150872660363,5.0,-3.52,-1.12,0.0,410.91463112831116
445,0.08970646828341501,11.080794692204915,9.136211788739363,0.15779729764414754,5.0,-3.52,-0.96,0.0,337.87857580184937
534,0.09059664233990943,10.93183924865016,8.981764035859605,0.15823558895126547,5.0,-3.52,-0.7999999999999998,0.0,317.782075881958
623,0.09146191497232915,10.781930883553539,8.843661740355552,0.15839911376328897,5.0,-3.52,-0.6400000000000001,0.0,330.1966013908386
51,0.09229859747257256,10.629612194841748,8.709238558886934,0.15852462942298012,5.0,-3.52,-0.48,0.0,354.30598735809326
151,0.09310382860547418,10.466835870132872,8.577330990830156,0.1585984569472935,5.0,-3.52,-0.31999999999999984,0.0,385.44464087486267
240,0.09387388496314736,10.303427145453108,8.447740985269345,0.1586255818990695,5.0,-3.52,-0.16000000000000014,0.0,311.05881357192993
333,0.09460560034220142,10.162684120772738,8.338610973779705,0.15842500078887323,5.0,-3.52,0.0,0.0,377.29649591445923
426,0.09529600933542495,10.00405006828612,8.228835240767527,0.15815226887001393,5.0,-3.52,0.16000000000000014,0.0,335.07056617736816
511,0.09594142109073472,9.853574101658431,8.123716963416427,0.15785792963637507,5.0,-3.52,0.3200000000000003,0.0,319.37763690948486
601,0.09653895975368679,9.686210277501916,8.029085004729062,0.1572573564693806,5.0,-3.52,0.4800000000000004,0.0,326.816899061203
50,0.097085525694662,9.527196045022281,7.938601279875812,0.15663659105948313,5.0,-3.52,0.6399999999999997,0.0,351.4006540775299
146,0.09757861813175588,9.370408109577301,7.851167526503456,0.1559814017222063,5.0,-3.52,0.7999999999999998,0.0,378.3139741420746
227,0.09801497735003649,9.21089790163261,7.775484950875961,0.15505851614695162,5.0,-3.52,0.96,0.0,297.8160083293915
322,0.09839259217842976,9.054604586748257,7.702704394855048,0.1541079707192533,5.0,-3.52,1.12,0.0,362.00895047187805
418,0.09870864661948113,8.899598945718854,7.64180003385704,0.15290259877762302,5.0,-3.52,1.2800000000000002,0.0,340.52193999290466
499,0.09896102081250027,8.751880764918528,7.584743361919986,0.15169519053090177,5.0,-3.52,1.4400000000000004,0.0,303.23018741607666
594,0.09914763090183432,8.603295927048638,7.5293753097435,0.15045760620501597,5.0,-3.52,1.6000000000000005,0.0,338.51339960098267
14,0.09926646354238973,8.457215664453955,7.476625931186816,0.14920728003833608,5.0,-3.52,1.7599999999999998,0.0,310.7818920612335
125,0.09931600463291398,8.323081946673756,7.4383977583057685,0.14776921392029746,5.0,-3.52,1.92,0.0,377.57998299598694
199,0.0992945018663517,8.183769029845287,7.400737261828304,0.1462958080490807,5.0,-3.52,2.08,0.0,286.88460659980774
299,0.09920060814335027,8.058750947134122,7.378366916300747,0.14466629451946447,5.0,-3.52,2.24,0.0,351.17313289642334
404,0.09903366519744926,7.952733222527064,7.364645786878153,0.14314284785510561,5.0,-3.52,2.4000000000000004,0.0,368.7741482257843
480,0.09879229828388725,7.828783241095444,7.347410367195801,0.14153098705154232,5.0,-3.52,2.5600000000000005,0.0,287.56590485572815
560,0.09847689644915339,7.729837099740589,7.350371393222321,0.1398608817349012,5.0,-3.52,2.7199999999999998,0.0,310.71176195144653
6,0.09808693757448379,7.6402726414332145,7.359997852392958,0.13827847228624662,5.0,-3.52,2.88,0.0,294.61290097236633
113,0.09762301832547626,7.579219746394452,7.392610029556106,0.13670224454067043,5.0,-3.52,3.04,0.0,362.4044454097748
198,0.09708685068132462,7.4974904664986095,7.413075932809967,0.13525353260463163,5.0,-3.52,3.2,0.0,315.9965362548828
303,0.09648007031375123,7.45037061183232,7.468491684318554,0.13364158238298196,5.0,-3.52,3.3600000000000003,0.0,364.98441100120544
385,0.09580536062192477,7.418382346497047,7.535541165942542,0.13219605636183807,5.0,-3.52,3.5200000000000005,0.0,317.69628739356995
479,0.09506637247093724,7.39866544724478,7.612979203355789,0.13089836787974563,5.0,-3.52,3.6799999999999997,0.0,325.4789984226227
568,0.0942671355246797,7.38773366489907,7.7010312746670095,0.12973100560663803,5.0,-3.52,3.84,0.0,326.2591404914856
7,0.0934127156476907,7.398158794482629,7.813082952217666,0.12854303162303432,5.0,-3.52,4.0,0.0,299.9040265083313
179,0.07244158002469975,12.87382314679282,12.901969645022916,0.14409734153057002,5.0,-3.36,-4.0,0.0,539.7043845653534
319,0.07338356901468085,12.873823137210476,12.656678888953486,0.1449235849906158,5.0,-3.36,-3.84,0.0,548.1562097072601
458,0.07433469860717774,12.835941711439762,12.416938581697384,0.1457599373908734,5.0,-3.36,-3.68,0.0,534.4928603172302
555,0.07529631455266718,12.738098310954259,12.182187137558849,0.14661656114544075,5.0,-3.36,-3.52,0.0,361.94973063468933
664,0.07626883511123826,12.63608802568621,11.952349001268136,0.14745253036237949,5.0,-3.36,-3.36,0.0,377.424546957016
796,0.07725088615591436,12.521655335407509,11.727323047624088,0.1482763110913345,5.0,-3.36,-3.2,0.0,474.3413646221161
75,0.07824153504995233,12.424911136735872,11.507387717740054,0.14907445034016148,5.0,-3.36,-3.04,0.0,397.12310695648193
178,0.07923965364816207,12.31631560344133,11.276548179382964,0.15013420123197452,5.0,-3.36,-2.88,0.0,423.5151071548462
274,0.08024412833300272,12.200071350568109,11.066209937391267,0.1508803736714444,5.0,-3.36,-2.7199999999999998,0.0,363.0061686038971
392,0.08125321489452618,12.087329466686644,10.845985957692333,0.1518789326196361,5.0,-3.36,-2.56,0.0,487.8805387020111
500,0.0822657315585246,11.961346370535209,10.645396849724658,0.15259350380525077,5.0,-3.36,-2.4,0.0,366.7058494091034
