P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
575,0.050532321950650876,6.400384321068628,5.45232968644876,0.36171333665433386,0.5,-3.52,2.5600000000000005,0.0,431.1607973575592
691,0.04951227942631504,6.400384402636956,5.634764954774264,0.35345213634557104,0.5,-3.52,2.7199999999999998,0.0,445.1313507556915
80,0.048493517726737434,6.400384375933614,5.8285274456751885,0.3454030715259018,0.5,-3.52,2.88,0.0,507.28708004951477
164,0.047480162075563354,6.400384107513908,6.024976037029372,0.3383660836831861,0.5,-3.52,3.04,0.0,378.3260507583618
255,0.04647586964940321,6.394114144688654,6.222037632027542,0.33227377846311423,0.5,-3.52,3.2,0.0,351.39059233665466
331,0.04548373570271519,6.3869661553705415,6.429292589600816,0.32629431185928837,0.5,-3.52,3.3600000000000003,0.0,331.8488829135895
416,0.04450625173691504,6.383651889357228,6.639815246099926,0.32133236265013687,0.5,-3.52,3.5200000000000005,0.0,353.9458878040314
497,0.04354555389471481,6.377905408303436,6.859942451866195,0.31643625523713736,0.5,-3.52,3.6799999999999997,0.0,333.3495252132416
590,0.0426035453352512,6.388785935434758,7.086505885493155,0.3126074325851451,0.5,-3.52,3.84,0.0,366.8236367702484
47,0.04168172488851816,6.396229244081367,7.321804990547374,0.3087859850260397,0.5,-3.52,4.0,0.0,392.3197479248047
193,0.03524702305460685,6.394895678357068,10.112546443280497,0.46015977590424473,0.5,-3.36,-4.0,0.0,590.0464324951172
345,0.03601286436518933,6.394895679930006,9.805479934438061,0.4641363545035355,0.5,-3.36,-3.84,0.0,629.3915684223175
474,0.03680983353583621,6.394895680304814,9.502153820213715,0.467925192512818,0.5,-3.36,-3.68,0.0,563.0353796482086
700,0.03763957214404285,6.394895678464936,9.192827759233069,0.4727639578599542,0.5,-3.36,-3.52,1.0,874.6457149982452
844,0.038503641626283835,6.394895679701131,8.888087383288472,0.4773932270203626,0.5,-3.36,-3.36,0.0,523.2429475784302
1039,0.03940350809651189,6.39489567930644,8.587023470221627,0.4817792673077502,0.5,-3.36,-3.2,0.0,648.3216218948364
66,0.04034082184470696,6.394895549490913,8.28154723748386,0.4872053581424443,0.5,-3.36,-3.04,0.0,457.81966161727905
199,0.041317031279040496,6.3948956776555335,7.983207847647462,0.4923350994532302,0.5,-3.36,-2.88,0.0,548.9370794296265
314,0.042333600733529736,6.39489566947491,7.680877067870769,0.49839370539768085,0.5,-3.36,-2.7199999999999998,0.0,493.22650504112244
471,0.04339157627316103,6.3948956757838875,7.384641203361463,0.5041811899729403,0.5,-3.36,-2.56,1.0,659.6049435138702
